,player_name,mins_played,Assists count,Assists count per Number of Minutes Played,percent_mark_90
0,Abdenasser El Khayati,3048.8833333333337,62.0,0.020335314022073652,1
1,Alexander Merkel,2923.6833333333334,11.0,0.0037623773664498547,1
2,Brandley Kuwas,2993.4333333333334,48.0,0.01603509905014309,1
3,Caner Cavlan,3171.0,48.0,0.015137180700094607,1
4,Daley Blind,3088.5833333333335,28.0,0.00906564498286701,1
5,Daniel Crowley,2945.833333333334,29.0,0.009844413012729843,1
6,Denzel Dumfries,3118.0333333333333,35.0,0.011225024320886028,1
7,Deyovaisio Zeefuik,2984.9333333333334,6.0,0.0020100951445035063,1
8,Dusan Tadic,3011.3,44.0,0.014611629528774947,1
9,Glenn Bijl,3014.55,42.0,0.013932427725531172,1
10,Guus Til,3116.0,62.0,0.01989730423620026,1
11,Gyrano Kerk,2985.2666666666673,47.0,0.015743987136827526,1
12,Jeffry Fortes,2939.366666666667,23.0,0.007824814869416314,1
13,Jonas Svensson,2969.35,10.0,0.003367740414568845,1
14,Jose Angel Esmoris Tasende,3190.4000000000005,21.0,0.006582246740220661,1
15,Jurgen Mattheij,2999.7166666666667,24.0,0.00800075562692032,1
16,Leeroy Owusu,3126.4666666666667,15.0,0.004797748256818134,1
17,Lex Immers,3192.4666666666662,36.0,0.011276546870758245,1
18,Luuk de Jong,3209.0,135.0,0.04206918043004051,1
19,Mark Diemers,2938.7999999999997,42.0,0.014291547570436915,1
20,Martin Ødegaard,3117.65,57.0,0.01828300161980979,1
21,Matthijs de Ligt,3099.0,47.0,0.015166182639561149,1
22,Menno Koch,3109.0,18.0,0.005789642972016726,1
23,Mike te Wierik,3302.5,13.0,0.003936411809235428,1
24,Nick Bakker,3063.866666666667,11.0,0.0035902345619913834,1
25,Nick Viergever,3145.2166666666667,10.0,0.003179431199758363,1
26,Nicolas Gavory,3116.2166666666662,8.0,0.002567215587277308,1
27,Nils Röseler,3117.0,9.0,0.0028873917228103944,1
28,Ritsu Doan,2941.1666666666665,60.0,0.02040006800022667,1
29,Samir Memisevic,3322.0,19.0,0.005719446116797111,1
30,Sean Klaiber,3477.3500000000004,26.0,0.007476958028383682,1
31,Sheraldo Becker,3003.4333333333334,39.0,0.012985139229548406,1
32,Simon Gustafson,3254.633333333333,34.0,0.010446645295424984,1
33,Steven Bergwijn,2947.1833333333334,64.0,0.021715649405364443,1
34,Teun Koopmeiners,3020.0,15.0,0.004966887417218543,1
35,Thulani Serero,3213.0666666666666,6.0,0.0018673748858826459,1
36,Tim Handwerker,2941.1833333333334,10.0,0.0033999920666851775,1
37,Vyacheslav Karavaev,3459.0833333333335,19.0,0.005492784697294562,1
38,Willem Janssen,3281.35,30.0,0.009142578511892971,1
