Team_Name,Assists count per Number of Minutes Played
ADO Den Haag,0.010167279310892568
AZ,0.014107787032177336
Ajax,0.0158903786951179
De Graafschap,0.009088883359347353
Excelsior,0.00852447281520746
FC Emmen,0.010704455426245945
FC Groningen,0.00994438788765094
FC Twente,0.011815946524529287
FC Utrecht,0.012566335816773072
Feyenoord,0.013271304147783502
Fortuna Sittard,0.0090795628052488
Heracles Almelo,0.008984518804082525
NAC Breda,0.00957904494583969
PEC Zwolle,0.012416879266179444
PSV,0.01604462231488484
Roda JC Kerkrade,0.007584834366167667
Sparta Rotterdam,0.008748803932342834
VVV-Venlo,0.010517821576872286
Vitesse,0.011550431920871119
Willem II,0.009772649775935872
sc Heerenveen,0.01198902519594725
