Team_Name,Assists count per Number of Minutes Played
ADO Den Haag,0.009079237923159329
AZ,0.01191965976877591
Ajax,0.01805486761141069
De Graafschap,0.009088883359347353
Excelsior,0.008697841807116838
FC Emmen,0.010704455426245945
FC Groningen,0.009734785867301187
FC Utrecht,0.011793158296712541
Feyenoord,0.015110310053946523
Fortuna Sittard,0.0090795628052488
Heracles Almelo,0.00951938212887
NAC Breda,0.008600651756464432
PEC Zwolle,0.012157616160871592
PSV,0.015912485695375626
VVV-Venlo,0.010958666946630523
Vitesse,0.01262581292920699
Willem II,0.008891205395313458
sc Heerenveen,0.01017509898186251
